"","Island","Culmen Length (mm)","Culmen Depth (mm)","Flipper Length (mm)","Body Mass (g)","Sex","Species","art_predictions","sex_predictions"
"3174","Biscoe",47.1,16.4,215,5500,"MALE","Gentoo","Gentoo","MALE"
"3175","Biscoe",45.6,15.45,220.5,5650,"MALE","Gentoo","Gentoo","MALE"
"3176","Biscoe",49.4,15.2,219,5287.5,"MALE","Gentoo","Gentoo","MALE"
"3177","Biscoe",49.5,16.1,229,5600,"MALE","Gentoo","Gentoo","MALE"
"3178","Biscoe",54.7,15.9,224.5,5025,"MALE","Gentoo","Gentoo","MALE"
"3179","Biscoe",48.9,15.6,221.5,5400,"MALE","Gentoo","Gentoo","MALE"
"3180","Biscoe",49,16.05,224,5900,"MALE","Gentoo","Gentoo","MALE"
"3181","Biscoe",47.5,16.05,217,5625,"MALE","Gentoo","Gentoo","MALE"
"3182","Biscoe",52.2,15.55,221,5625,"MALE","Gentoo","Gentoo","MALE"
"3183","Biscoe",48.85,15.7,215,5475,"MALE","Gentoo","Gentoo","MALE"
"3184","Biscoe",47.85,15.8,222,5625,"MALE","Gentoo","Gentoo","MALE"
"3185","Biscoe",50.1,16,229.5,5325,"MALE","Gentoo","Gentoo","MALE"
"3186","Biscoe",47.55,17.2,218.5,5750,"MALE","Gentoo","Gentoo","MALE"
"3187","Biscoe",50.85,15,218.5,5037.5,"MALE","Gentoo","Gentoo","MALE"
"3188","Biscoe",50,16,209,5525,"MALE","Gentoo","Gentoo","MALE"
"3189","Biscoe",49.1,15.2,221,5850,"MALE","Gentoo","Gentoo","MALE"
"3190","Biscoe",50.15,15.9,221.5,5525,"MALE","Gentoo","Gentoo","MALE"
"3191","Biscoe",49.5,15.55,218.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3192","Biscoe",48.3,16.1,223,5350,"MALE","Gentoo","Gentoo","MALE"
"3193","Biscoe",52.3,15,225.5,5150,"MALE","Gentoo","Gentoo","MALE"
"3194","Biscoe",50.75,14.75,221,5600,"MALE","Gentoo","Gentoo","MALE"
"3195","Biscoe",51.8,15.7,214,5450,"MALE","Gentoo","Gentoo","MALE"
"3196","Biscoe",48,17,225.5,5425,"MALE","Gentoo","Gentoo","MALE"
"3197","Biscoe",49.65,16.45,219,5625,"MALE","Gentoo","Gentoo","MALE"
"3198","Biscoe",49,16.05,222.5,5500,"MALE","Gentoo","Gentoo","MALE"
"3199","Biscoe",50.6,16,226,5625,"MALE","Gentoo","Gentoo","MALE"
"3200","Biscoe",47.5,15.6,219,5725,"MALE","Gentoo","Gentoo","MALE"
"3201","Biscoe",49.45,15.4,221.5,5700,"MALE","Gentoo","Gentoo","MALE"
"3202","Biscoe",49.45,15.4,222.5,5750,"MALE","Gentoo","Gentoo","MALE"
"3203","Biscoe",51.95,16.35,212.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3204","Biscoe",50.35,15.55,229.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3205","Biscoe",49.7,15.5,225,5037.5,"MALE","Gentoo","Gentoo","MALE"
"3206","Biscoe",50.1,16.35,223,5175,"MALE","Gentoo","Gentoo","MALE"
"3207","Biscoe",49.1,15.85,224,5675,"MALE","Gentoo","Gentoo","MALE"
"3208","Biscoe",49.75,15.5,216,5450,"MALE","Gentoo","Gentoo","MALE"
"3209","Biscoe",48.7,15.65,215,5375,"MALE","Gentoo","Gentoo","MALE"
"3210","Biscoe",54.6,15.45,223,5525,"MALE","Gentoo","Gentoo","MALE"
"3211","Biscoe",45.1,15.6,227.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3212","Biscoe",50.05,16.05,222.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3213","Biscoe",45.9,16.2,225,5650,"MALE","Gentoo","Gentoo","MALE"
"3214","Biscoe",52.55,15.4,221.5,6000,"MALE","Gentoo","Gentoo","MALE"
"3215","Biscoe",48.7,16.6,219,5375,"MALE","Gentoo","Gentoo","MALE"
"3216","Biscoe",47.95,15.8,229.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3217","Biscoe",52.75,14.95,224.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3218","Biscoe",48.5,16.5,219.5,5525,"MALE","Gentoo","Gentoo","MALE"
"3219","Biscoe",50.9,15.35,221,5200,"MALE","Gentoo","Gentoo","MALE"
"3220","Biscoe",49.9,15.9,215,5650,"MALE","Gentoo","Gentoo","MALE"
"3221","Biscoe",49.2,15,222,5475,"MALE","Gentoo","Gentoo","MALE"
"3222","Biscoe",51.35,15.2,222,5550,"MALE","Gentoo","Gentoo","MALE"
"3223","Biscoe",50.4,15.85,227,5425,"MALE","Gentoo","Gentoo","MALE"
"3224","Biscoe",50.1,16.5,219.5,5650,"MALE","Gentoo","Gentoo","MALE"
"3225","Biscoe",49.75,16,222.5,5800,"MALE","Gentoo","Gentoo","MALE"
"3226","Biscoe",48.5,17.2,224.5,5650,"MALE","Gentoo","Gentoo","MALE"
"3227","Biscoe",49.4,15.4,210.5,5825,"MALE","Gentoo","Gentoo","MALE"
"3228","Biscoe",47.6,15.85,219,5075,"MALE","Gentoo","Gentoo","MALE"
"3229","Biscoe",50.3,16,221.5,5800,"MALE","Gentoo","Gentoo","MALE"
"3230","Biscoe",47.15,15.3,215.5,5325,"MALE","Gentoo","Gentoo","MALE"
"3231","Biscoe",50.4,15.55,226.5,5100,"MALE","Gentoo","Gentoo","MALE"
"3232","Biscoe",50.35,16.6,226.5,5750,"MALE","Gentoo","Gentoo","MALE"
"3233","Biscoe",50.8,16.3,214.5,5425,"MALE","Gentoo","Gentoo","MALE"
"3234","Biscoe",51.15,14.75,219.5,5975,"MALE","Gentoo","Gentoo","MALE"
"3235","Biscoe",48,15.05,220,5625,"MALE","Gentoo","Gentoo","MALE"
"3236","Biscoe",47.4,16.4,218.5,5500,"MALE","Gentoo","Gentoo","MALE"
"3237","Biscoe",50.8,15.45,216.5,5725,"MALE","Gentoo","Gentoo","MALE"
"3238","Biscoe",45.4,15.9,225,5825,"MALE","Gentoo","Gentoo","MALE"
"3239","Biscoe",51.25,15.65,224,5500,"MALE","Gentoo","Gentoo","MALE"
"3240","Biscoe",49,15.7,218.5,5200,"MALE","Gentoo","Gentoo","MALE"
"3241","Biscoe",49.75,15.65,221.5,5850,"MALE","Gentoo","Gentoo","MALE"
"3242","Biscoe",48.65,15.5,222.5,5475,"MALE","Gentoo","Gentoo","MALE"
"3243","Biscoe",46.5,15.15,230.5,5750,"MALE","Gentoo","Gentoo","MALE"
"3244","Biscoe",51.2,16.2,219.5,5400,"MALE","Gentoo","Gentoo","MALE"
"3245","Biscoe",51.25,15.95,217,5425,"MALE","Gentoo","Gentoo","MALE"
"3246","Biscoe",50.1,16.65,223,5825,"MALE","Gentoo","Gentoo","MALE"
"3247","Biscoe",48.8,15.9,220.5,5525,"MALE","Gentoo","Gentoo","MALE"
"3248","Biscoe",51.4,16.7,214.5,5525,"MALE","Gentoo","Gentoo","MALE"
"3249","Biscoe",49,16.55,227.5,5800,"MALE","Gentoo","Gentoo","MALE"
"3250","Biscoe",51.45,16.95,217.5,5450,"MALE","Gentoo","Gentoo","MALE"
"3251","Biscoe",49.25,15.7,218,5800,"MALE","Gentoo","Gentoo","MALE"
"3252","Biscoe",51.45,14.75,225.5,5237.5,"MALE","Gentoo","Gentoo","MALE"
"3253","Biscoe",49.4,14.9,220.5,5225,"MALE","Gentoo","Gentoo","MALE"
"3254","Biscoe",53.2,15.65,219.5,5450,"MALE","Gentoo","Gentoo","MALE"
"3255","Biscoe",50,15.35,215,5550,"MALE","Gentoo","Gentoo","MALE"
"3256","Biscoe",49.6,15.7,226,5475,"MALE","Gentoo","Gentoo","MALE"
"3257","Biscoe",47.85,14.9,218,5200,"MALE","Gentoo","Gentoo","MALE"
"3258","Biscoe",48.25,16.3,226,5150,"MALE","Gentoo","Gentoo","MALE"
"3259","Biscoe",49.6,16.1,215.5,5150,"MALE","Gentoo","Gentoo","MALE"
"3260","Biscoe",49.8,15.95,228.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3261","Biscoe",50.6,16.1,217.5,5500,"MALE","Gentoo","Gentoo","MALE"
"3262","Biscoe",47.25,15.95,222.5,5500,"MALE","Gentoo","Gentoo","MALE"
"3263","Biscoe",49.65,14.7,219.5,5850,"MALE","Gentoo","Gentoo","MALE"
"3264","Biscoe",49.7,15.35,222.5,5800,"MALE","Gentoo","Gentoo","MALE"
"3265","Biscoe",47.6,15.7,225,5625,"MALE","Gentoo","Gentoo","MALE"
"3266","Biscoe",50.6,15.5,222.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3267","Biscoe",54.05,15.05,218.5,5450,"MALE","Gentoo","Gentoo","MALE"
"3268","Biscoe",47.45,16.2,222.5,5700,"MALE","Gentoo","Gentoo","MALE"
"3269","Biscoe",55.9,15.65,222,5600,"MALE","Gentoo","Gentoo","MALE"
"3270","Biscoe",53.35,15.1,226.5,6075,"MALE","Gentoo","Gentoo","MALE"
"3271","Biscoe",50.95,15.3,218.5,5650,"MALE","Gentoo","Gentoo","MALE"
"3272","Biscoe",48.05,15.6,222,5600,"MALE","Gentoo","Gentoo","MALE"
"3273","Biscoe",50.9,15.15,225,5275,"MALE","Gentoo","Gentoo","MALE"
"3274","Biscoe",49.75,15.8,212.5,5650,"MALE","Gentoo","Gentoo","MALE"
"3275","Biscoe",48.85,15.7,217.5,5325,"MALE","Gentoo","Gentoo","MALE"
"3276","Biscoe",47.8,15.5,220,5825,"MALE","Gentoo","Gentoo","MALE"
"3277","Biscoe",47.9,16,221,5300,"MALE","Gentoo","Gentoo","MALE"
"3278","Biscoe",49,15.45,223.5,5450,"MALE","Gentoo","Gentoo","MALE"
"3279","Biscoe",48.55,16.35,218,5300,"MALE","Gentoo","Gentoo","MALE"
"3280","Biscoe",45.7,15.45,225.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3281","Biscoe",48.4,15.5,214,5200,"MALE","Gentoo","Gentoo","MALE"
"3282","Biscoe",49.65,15.5,220,5350,"MALE","Gentoo","Gentoo","MALE"
"3283","Biscoe",48,15.6,217,5200,"MALE","Gentoo","Gentoo","MALE"
"3284","Biscoe",49.95,15.8,224.5,5425,"MALE","Gentoo","Gentoo","MALE"
"3285","Biscoe",49.8,15.7,223.5,5675,"MALE","Gentoo","Gentoo","MALE"
"3286","Biscoe",50.2,15.5,215.5,5425,"MALE","Gentoo","Gentoo","MALE"
"3287","Biscoe",50.25,15.8,225,5375,"MALE","Gentoo","Gentoo","MALE"
"3288","Biscoe",48.2,15.45,223,5525,"MALE","Gentoo","Gentoo","MALE"
"3289","Biscoe",50.55,16.15,218,5450,"MALE","Gentoo","Gentoo","MALE"
"3290","Biscoe",48.8,15.65,221.5,5575,"MALE","Gentoo","Gentoo","MALE"
"3291","Biscoe",52.55,15.4,221.5,5850,"MALE","Gentoo","Gentoo","MALE"
"3292","Biscoe",49.4,14.95,227,5500,"MALE","Gentoo","Gentoo","MALE"
"3293","Biscoe",49.3,15.1,226,5312.5,"MALE","Gentoo","Gentoo","MALE"
"3294","Biscoe",50.1,16.5,225,5800,"MALE","Gentoo","Gentoo","MALE"
"3295","Biscoe",49.7,15.75,219,5850,"MALE","Gentoo","Gentoo","MALE"
"3296","Biscoe",49.55,16.05,221,5450,"MALE","Gentoo","Gentoo","MALE"
"3297","Biscoe",48.45,15.15,217,5250,"MALE","Gentoo","Gentoo","MALE"
"3298","Biscoe",52.1,16.05,219,5000,"MALE","Gentoo","Gentoo","MALE"
"3299","Biscoe",49.65,15.2,223.5,5075,"MALE","Gentoo","Gentoo","MALE"
"3300","Biscoe",45.1,15.45,218,5925,"MALE","Gentoo","Gentoo","MALE"
"3301","Biscoe",49.25,15.25,224,5375,"MALE","Gentoo","Gentoo","MALE"
"3302","Biscoe",48.95,14.4,222,5275,"MALE","Gentoo","Gentoo","MALE"
"3303","Biscoe",50.95,16.35,217,5850,"MALE","Gentoo","Gentoo","MALE"
"3304","Biscoe",50.2,16.8,226.5,5200,"MALE","Gentoo","Gentoo","MALE"
"3305","Biscoe",50.15,15.2,223,5225,"MALE","Gentoo","Gentoo","MALE"
"3306","Biscoe",48.85,15.3,218.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3307","Biscoe",46.85,15.5,221.5,5475,"MALE","Gentoo","Gentoo","MALE"
"3308","Biscoe",53.2,15,223.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3309","Biscoe",48.65,16.15,220.5,5250,"MALE","Gentoo","Gentoo","MALE"
"3310","Biscoe",48.65,14.6,225,5700,"MALE","Gentoo","Gentoo","MALE"
"3311","Biscoe",47.95,15.6,224,5750,"MALE","Gentoo","Gentoo","MALE"
"3312","Biscoe",51.3,16,220,5575,"MALE","Gentoo","Gentoo","MALE"
"3313","Biscoe",49.75,15.25,223,5375,"MALE","Gentoo","Gentoo","MALE"
"3314","Biscoe",50.2,16.4,208.5,5700,"MALE","Gentoo","Gentoo","MALE"
"3315","Biscoe",48.05,15.65,220,5850,"MALE","Gentoo","Gentoo","MALE"
"3316","Biscoe",51.75,16.15,222.5,5400,"MALE","Gentoo","Gentoo","MALE"
"3317","Biscoe",47.85,15.5,222,5125,"MALE","Gentoo","Gentoo","MALE"
"3318","Biscoe",52.85,16,226.5,5800,"MALE","Gentoo","Gentoo","MALE"
"3319","Biscoe",51.35,14.95,225,5300,"MALE","Gentoo","Gentoo","MALE"
"3320","Biscoe",47.25,14.9,219,5925,"MALE","Gentoo","Gentoo","MALE"
"3321","Biscoe",48.05,15.6,222.5,5450,"MALE","Gentoo","Gentoo","MALE"
"3322","Biscoe",50.2,16.5,229.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3323","Biscoe",50.25,16.1,221.5,5650,"MALE","Gentoo","Gentoo","MALE"
"3324","Biscoe",46.75,16.2,216.5,5250,"MALE","Gentoo","Gentoo","MALE"
"3325","Biscoe",50.8,16.05,222.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3326","Biscoe",50.9,15.2,220,5175,"MALE","Gentoo","Gentoo","MALE"
"3327","Biscoe",51.1,16.55,217.5,5250,"MALE","Gentoo","Gentoo","MALE"
"3328","Biscoe",51.65,15.35,224.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3329","Biscoe",49.4,15.65,222,5575,"MALE","Gentoo","Gentoo","MALE"
"3330","Biscoe",47.85,15.7,225,6000,"MALE","Gentoo","Gentoo","MALE"
"3331","Biscoe",50.55,16.2,212,5450,"MALE","Gentoo","Gentoo","MALE"
"3332","Biscoe",50.35,16.15,220,5250,"MALE","Gentoo","Gentoo","MALE"
"3333","Biscoe",46.25,14.85,222,5175,"MALE","Gentoo","Gentoo","MALE"
"3334","Biscoe",47.55,16.15,219.5,5525,"MALE","Gentoo","Gentoo","MALE"
"3335","Biscoe",48.6,16.05,226,5575,"MALE","Gentoo","Gentoo","MALE"
"3336","Biscoe",46.95,15.85,218.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3337","Biscoe",47.75,15.6,222.5,5300,"MALE","Gentoo","Gentoo","MALE"
"3338","Biscoe",49.85,16.15,219.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3339","Biscoe",52.1,17.05,218.5,5575,"MALE","Gentoo","Gentoo","MALE"
"3340","Biscoe",50.8,16.1,217.5,5375,"MALE","Gentoo","Gentoo","MALE"
"3341","Biscoe",50.6,16.2,225,5525,"MALE","Gentoo","Gentoo","MALE"
"3342","Biscoe",50.7,16.7,220,5600,"MALE","Gentoo","Gentoo","MALE"
"3343","Biscoe",50.45,15.8,221,5475,"MALE","Gentoo","Gentoo","MALE"
"3344","Biscoe",46.25,16.1,227.5,5075,"MALE","Gentoo","Gentoo","MALE"
"3345","Biscoe",48.8,16.05,226,5325,"MALE","Gentoo","Gentoo","MALE"
"3346","Biscoe",48.4,16.05,229.5,5775,"MALE","Gentoo","Gentoo","MALE"
"3347","Biscoe",49.75,16.7,212.5,5300,"MALE","Gentoo","Gentoo","MALE"
"3348","Biscoe",45.1,15.2,218.5,5075,"MALE","Gentoo","Gentoo","MALE"
"3349","Biscoe",46.8,15.45,221.5,5250,"MALE","Gentoo","Gentoo","MALE"
"3350","Biscoe",49.1,15.65,219.5,5100,"MALE","Gentoo","Gentoo","MALE"
"3351","Biscoe",48.15,15.75,218,5425,"MALE","Gentoo","Gentoo","MALE"
"3352","Biscoe",50.75,15.4,216,5500,"MALE","Gentoo","Gentoo","MALE"
"3353","Biscoe",51.3,16.5,227,5200,"MALE","Gentoo","Gentoo","MALE"
"3354","Biscoe",49.4,15.85,222,5675,"MALE","Gentoo","Gentoo","MALE"
"3355","Biscoe",48.1,15.55,217.5,5750,"MALE","Gentoo","Gentoo","MALE"
"3356","Biscoe",48.05,15.3,221,5450,"MALE","Gentoo","Gentoo","MALE"
"3357","Biscoe",46.5,16.95,225,4987.5,"MALE","Gentoo","Gentoo","MALE"
"3358","Biscoe",54.05,16,222.5,5825,"MALE","Gentoo","Gentoo","MALE"
"3359","Biscoe",45.65,15.55,222.5,5475,"MALE","Gentoo","Gentoo","MALE"
"3360","Biscoe",47.6,16.35,223.5,5400,"MALE","Gentoo","Gentoo","MALE"
"3361","Biscoe",46.15,16.3,223,5037.5,"MALE","Gentoo","Gentoo","MALE"
"3362","Biscoe",46.6,14.6,219.5,5275,"MALE","Gentoo","Gentoo","MALE"
"3363","Biscoe",51.2,14.6,222.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3364","Biscoe",47.95,16.65,212.5,5650,"MALE","Gentoo","Gentoo","MALE"
"3365","Biscoe",45.2,16.05,229,5600,"MALE","Gentoo","Gentoo","MALE"
"3366","Biscoe",48.4,15.85,219.5,5375,"MALE","Gentoo","Gentoo","MALE"
"3367","Biscoe",49.6,14.95,223.5,5325,"MALE","Gentoo","Gentoo","MALE"
"3368","Biscoe",48.1,15.45,217.5,5700,"MALE","Gentoo","Gentoo","MALE"
"3369","Biscoe",49.9,16.05,229,5425,"MALE","Gentoo","Gentoo","MALE"
"3370","Biscoe",51.05,15.75,219.5,5675,"MALE","Gentoo","Gentoo","MALE"
"3371","Biscoe",49.6,15.25,218,5225,"MALE","Gentoo","Gentoo","MALE"
"3372","Biscoe",48.65,16.1,223,5600,"MALE","Gentoo","Gentoo","MALE"
"3373","Biscoe",49.95,16.45,220.5,5475,"MALE","Gentoo","Gentoo","MALE"
"3374","Biscoe",48.45,16,226,5475,"MALE","Gentoo","Gentoo","MALE"
"3375","Biscoe",52.95,16.1,208,5850,"MALE","Gentoo","Gentoo","MALE"
"3376","Biscoe",45.95,15.2,214,5525,"MALE","Gentoo","Gentoo","MALE"
"3377","Biscoe",49.7,14.75,220.5,5600,"MALE","Gentoo","Gentoo","MALE"
"3378","Biscoe",50.15,15.4,220,5550,"MALE","Gentoo","Gentoo","MALE"
"3379","Biscoe",48.65,15.55,223,5525,"MALE","Gentoo","Gentoo","MALE"
"3380","Biscoe",50.1,16.3,222.5,5300,"MALE","Gentoo","Gentoo","MALE"
"3381","Biscoe",53.2,15.3,219,5600,"MALE","Gentoo","Gentoo","MALE"
"3382","Biscoe",51.3,15.25,226.5,5525,"MALE","Gentoo","Gentoo","MALE"
"3383","Biscoe",51.85,15.6,219,5600,"MALE","Gentoo","Gentoo","MALE"
"3384","Biscoe",49.7,15.15,219,5700,"MALE","Gentoo","Gentoo","MALE"
"3385","Biscoe",52.4,16.15,223,5650,"MALE","Gentoo","Gentoo","MALE"
"3386","Biscoe",46.95,14.5,217.5,5300,"MALE","Gentoo","Gentoo","MALE"
"3387","Biscoe",51.15,16,222,5325,"MALE","Gentoo","Gentoo","MALE"
"3388","Biscoe",46.85,16,224.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3389","Biscoe",50.35,15.65,213.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3390","Biscoe",47.4,15.15,224,5425,"MALE","Gentoo","Gentoo","MALE"
"3391","Biscoe",46.4,15.7,223,5550,"MALE","Gentoo","Gentoo","MALE"
"3392","Biscoe",47.4,15.8,225,5850,"MALE","Gentoo","Gentoo","MALE"
"3393","Biscoe",48.5,15.55,220.5,5850,"MALE","Gentoo","Gentoo","MALE"
"3394","Biscoe",49.15,15.65,221,5975,"MALE","Gentoo","Gentoo","MALE"
"3395","Biscoe",51.2,16.1,214.5,5200,"MALE","Gentoo","Gentoo","MALE"
"3396","Biscoe",49.75,15.05,228,5850,"MALE","Gentoo","Gentoo","MALE"
"3397","Biscoe",48.85,16,217.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3398","Biscoe",50.65,15.8,215,5237.5,"MALE","Gentoo","Gentoo","MALE"
"3399","Biscoe",47.25,15.9,221,5300,"MALE","Gentoo","Gentoo","MALE"
"3400","Biscoe",51.35,15.45,214,5250,"MALE","Gentoo","Gentoo","MALE"
"3401","Biscoe",47.85,15.5,217,5500,"MALE","Gentoo","Gentoo","MALE"
"3402","Biscoe",49.9,15.4,224.5,5775,"MALE","Gentoo","Gentoo","MALE"
"3403","Biscoe",48.55,15.35,225,5400,"MALE","Gentoo","Gentoo","MALE"
"3404","Biscoe",50.8,15.4,217,5475,"MALE","Gentoo","Gentoo","MALE"
"3405","Biscoe",49.1,15.95,222.5,5500,"MALE","Gentoo","Gentoo","MALE"
"3406","Biscoe",50,16.5,219.5,5600,"MALE","Gentoo","Gentoo","MALE"
"3407","Biscoe",49.25,15.95,225,5350,"MALE","Gentoo","Gentoo","MALE"
"3408","Biscoe",48.25,16.05,219.5,5450,"MALE","Gentoo","Gentoo","MALE"
"3409","Biscoe",50.3,15.3,225.5,5525,"MALE","Gentoo","Gentoo","MALE"
"3410","Biscoe",45.8,15.6,224,5600,"MALE","Gentoo","Gentoo","MALE"
"3411","Biscoe",49.25,15.4,222.5,5575,"MALE","Gentoo","Gentoo","MALE"
"3412","Biscoe",47.55,16.1,222,5125,"MALE","Gentoo","Gentoo","MALE"
"3413","Biscoe",52.3,16.5,224.5,5500,"MALE","Gentoo","Gentoo","MALE"
"3414","Biscoe",48.35,15.6,218,5850,"MALE","Gentoo","Gentoo","MALE"
"3415","Biscoe",50.35,16.35,217.5,5300,"MALE","Gentoo","Gentoo","MALE"
"3416","Biscoe",47.75,15.65,219,5625,"MALE","Gentoo","Gentoo","MALE"
"3417","Biscoe",49.95,15.6,222.5,5050,"MALE","Gentoo","Gentoo","MALE"
"3418","Biscoe",49.3,15.55,219.5,5375,"MALE","Gentoo","Gentoo","MALE"
"3419","Biscoe",48.55,15.4,214.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3420","Biscoe",49.6,15.75,221.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3421","Biscoe",47.65,15.8,221.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3422","Biscoe",47.85,17.15,220.5,5400,"MALE","Gentoo","Gentoo","MALE"
"3423","Biscoe",44.95,15.2,221.5,5250,"MALE","Gentoo","Gentoo","MALE"
"3424","Biscoe",48.6,15.45,225.5,5000,"MALE","Gentoo","Gentoo","MALE"
"3425","Biscoe",51.1,16.15,218.5,5700,"MALE","Gentoo","Gentoo","MALE"
"3426","Biscoe",46.8,15.5,216.5,5600,"MALE","Gentoo","Gentoo","MALE"
"3427","Biscoe",48.7,16.65,226.5,5900,"MALE","Gentoo","Gentoo","MALE"
"3428","Biscoe",48.95,15.35,219.5,5575,"MALE","Gentoo","Gentoo","MALE"
"3429","Biscoe",47.6,15.7,221,5450,"MALE","Gentoo","Gentoo","MALE"
"3430","Biscoe",50.25,15.55,221.5,5325,"MALE","Gentoo","Gentoo","MALE"
"3431","Biscoe",47.75,16.55,222.5,5225,"MALE","Gentoo","Gentoo","MALE"
"3432","Biscoe",49.9,16.55,222.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3433","Biscoe",49.05,14.95,225,5675,"MALE","Gentoo","Gentoo","MALE"
"3434","Biscoe",48.9,15.95,218,5600,"MALE","Gentoo","Gentoo","MALE"
"3435","Biscoe",49.75,15.8,219.5,5450,"MALE","Gentoo","Gentoo","MALE"
"3436","Biscoe",49.3,14.35,218.5,5225,"MALE","Gentoo","Gentoo","FEMALE"
"3437","Biscoe",49.45,15.65,227,5625,"MALE","Gentoo","Gentoo","MALE"
"3438","Biscoe",50,16.6,215.5,5650,"MALE","Gentoo","Gentoo","MALE"
"3439","Biscoe",49.2,15.65,229.5,5525,"MALE","Gentoo","Gentoo","MALE"
"3440","Biscoe",51.2,15.9,221,5650,"MALE","Gentoo","Gentoo","MALE"
"3441","Biscoe",48.4,16.05,217.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3442","Biscoe",50.3,16.15,222,5350,"MALE","Gentoo","Gentoo","MALE"
"3443","Biscoe",50.55,15.5,230.5,5075,"MALE","Gentoo","Gentoo","MALE"
"3444","Biscoe",48.1,15.85,221.5,5600,"MALE","Gentoo","Gentoo","MALE"
"3445","Biscoe",47.75,16.1,216.5,5375,"MALE","Gentoo","Gentoo","MALE"
"3446","Biscoe",52.35,15.65,224.5,5550,"MALE","Gentoo","Gentoo","MALE"
"3447","Biscoe",46.75,16.55,220,5625,"MALE","Gentoo","Gentoo","MALE"
"3448","Biscoe",49,15.1,219.5,5425,"MALE","Gentoo","Gentoo","MALE"
"3449","Biscoe",50.65,15.6,220,5725,"MALE","Gentoo","Gentoo","MALE"
"3450","Biscoe",54.15,15.65,216,5825,"MALE","Gentoo","Gentoo","MALE"
"3451","Biscoe",49.7,14.75,222,5250,"MALE","Gentoo","Gentoo","MALE"
"3452","Biscoe",51.5,15.45,218,5725,"MALE","Gentoo","Gentoo","MALE"
"3453","Biscoe",50.05,15.7,219,5525,"MALE","Gentoo","Gentoo","MALE"
"3454","Biscoe",50.4,16.3,219,5475,"MALE","Gentoo","Gentoo","MALE"
"3455","Biscoe",50.45,15.8,218.5,5287.5,"MALE","Gentoo","Gentoo","MALE"
"3456","Biscoe",50.8,16.2,215.5,5500,"MALE","Gentoo","Gentoo","MALE"
"3457","Biscoe",47.6,15.8,219,5300,"MALE","Gentoo","Gentoo","MALE"
"3458","Biscoe",49.75,14.85,216.5,5375,"MALE","Gentoo","Gentoo","MALE"
"3459","Biscoe",45.35,15.45,226.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3460","Biscoe",48.6,16.1,225,5700,"MALE","Gentoo","Gentoo","MALE"
"3461","Biscoe",46.85,15.65,219,5675,"MALE","Gentoo","Gentoo","MALE"
"3462","Biscoe",52.7,15.8,221,5275,"MALE","Gentoo","Gentoo","MALE"
"3463","Biscoe",46.95,15.1,230,5675,"MALE","Gentoo","Gentoo","MALE"
"3464","Biscoe",50.4,16.1,224.5,5700,"MALE","Gentoo","Gentoo","MALE"
"3465","Biscoe",48.75,14.7,220,5700,"MALE","Gentoo","Gentoo","MALE"
"3466","Biscoe",48.2,14.95,229,5250,"MALE","Gentoo","Gentoo","MALE"
"3467","Biscoe",48,14.75,218.5,5575,"MALE","Gentoo","Gentoo","MALE"
"3468","Biscoe",47.55,15.8,217,5350,"MALE","Gentoo","Gentoo","MALE"
"3469","Biscoe",49.65,15.05,223,5625,"MALE","Gentoo","Gentoo","MALE"
"3470","Biscoe",48.15,14.65,226.5,5625,"MALE","Gentoo","Gentoo","MALE"
"3471","Biscoe",48.7,16.05,226,5625,"MALE","Gentoo","Gentoo","MALE"
"3472","Biscoe",51.05,16.35,217.5,5800,"MALE","Gentoo","Gentoo","MALE"
"3473","Biscoe",50.75,15.3,219,5375,"MALE","Gentoo","Gentoo","MALE"
"3474","Biscoe",49.55,15.15,225.5,5350,"MALE","Gentoo","Gentoo","MALE"
"3475","Biscoe",57.35,15.75,214,5300,"MALE","Gentoo","Gentoo","MALE"
"3476","Biscoe",47,15.85,220,5225,"MALE","Gentoo","Gentoo","MALE"
